Date,Depth,temperature,Sample_method,Measurement_name
20240422,0.023,11.066,sonde,temperature
20240422,0.87,11.021,sonde,temperature
20240422,1.878,11.054,sonde,temperature
20240422,2.911,10.978,sonde,temperature
20240422,3.901,10.937,sonde,temperature
20240422,4.852,10.89,sonde,temperature
20240422,5.884,10.257,sonde,temperature
20240422,6.469,9.852,sonde,temperature
20240612,0.057,19.97,sonde,temperature
20240612,1.836,18.915,sonde,temperature
20240612,2.839,18.712,sonde,temperature
20240612,3.839,18.502,sonde,temperature
20240612,4.843,15.433,sonde,temperature
20240612,5.866,13.655,sonde,temperature
20240612,6.855,12.694,sonde,temperature
20240612,7.537,12.111,sonde,temperature
20240801,0.084,27.817,sonde,temperature
20240801,0.912,27.796,sonde,temperature
20240801,1.759,27.659,sonde,temperature
20240801,2.879,24.589,sonde,temperature
20240801,3.905,21.408,sonde,temperature
20240801,4.888,18.66,sonde,temperature
20240801,5.838,16.508,sonde,temperature
20240801,7.176,14.595,sonde,temperature
20240802,0.8,27.09630787,logger,temperature
20240802,3.8,21.505,logger,temperature
20240802,6.9,14.29565972,logger,temperature
20240803,0.8,26.43167824,logger,temperature
20240803,3.8,21.55268519,logger,temperature
20240803,6.9,14.31908565,logger,temperature
20240804,0.8,26.48366898,logger,temperature
20240804,3.8,21.60446759,logger,temperature
20240804,6.9,14.32416667,logger,temperature
20240805,0.8,26.22335648,logger,temperature
20240805,3.8,21.72594907,logger,temperature
20240805,6.9,14.34693287,logger,temperature
20240806,0.8,25.6602662,logger,temperature
20240806,3.8,21.70203704,logger,temperature
20240806,6.9,14.4278588,logger,temperature
20240807,0.8,24.80275463,logger,temperature
20240807,3.8,21.71395833,logger,temperature
20240807,6.9,14.42969907,logger,temperature
20240808,0.8,24.75173611,logger,temperature
20240808,3.8,21.9490625,logger,temperature
20240808,6.9,14.40633102,logger,temperature
20240809,0.8,24.47671296,logger,temperature
20240809,3.8,22.29378472,logger,temperature
20240809,6.9,14.41424769,logger,temperature
20240810,0.8,23.77665509,logger,temperature
20240810,3.8,22.00663194,logger,temperature
20240810,6.9,14.38290509,logger,temperature
20240811,0.8,23.13549769,logger,temperature
20240811,3.8,22.06453704,logger,temperature
20240811,6.9,14.40574074,logger,temperature
20240812,0.8,22.87047454,logger,temperature
20240812,3.8,21.61056713,logger,temperature
20240812,6.9,14.39028935,logger,temperature
20240813,0.8,23.0424537,logger,temperature
20240813,3.8,21.48716435,logger,temperature
20240813,6.9,14.37100694,logger,temperature
20240815,0.24,24.2837037,logger,temperature
20240815,3.24,21.7477662,logger,temperature
20240816,0.24,23.55539352,logger,temperature
20240816,3.24,21.96719907,logger,temperature
20240817,0.24,23.29199074,logger,temperature
20240817,3.24,22.22986111,logger,temperature
20240818,0.24,23.2678125,logger,temperature
