trial,temp_rmse,temp_bias,d2H_rmse,d2H_bias,d18O_rmse,d18O_bias,cdrn,eta,alb_snow,alb_slush,d18Oa,f,melt_ratio,rsm_ratio,p,s,thaw_threshold,freeze_threshold,rp_ratio_freeze,rp_ratio_cold,rp_ratio_mild,rp_ratio_warm,d2Ha
111,2.444753899,-1.440521598,11.79361508,0.239742857,1.805038169,-0.055610204,0.002234307,0.82639433,0.847588037,0.543003771,-21.30528883,0.363352605,0.931123207,0.218417609,33.96747379,0.93648109,0.546675136,6.589843418,0.498551396,0.839259212,0.25399838,0.302228759,-160.4423106
160,1.458992272,-0.464449633,12.11979891,4.779281633,1.842122323,0.664489796,0.002283128,0.631488364,0.883699185,0.576254512,-20.50328562,0.578938044,0.571680414,0.168225345,68.01085427,0.937305414,1.593503151,3.719180879,0.390971428,0.7887074,0.19948414,0.071449932,-154.0262849
201,2.901948872,-2.003457568,11.29493715,0.537595918,1.779467192,0.141442857,0.002463342,0.871781975,0.830716002,0.450135165,-18.6922087,0.868656664,0.216125646,0.663673029,44.89019509,0.92410595,1.586917005,2.44970084,0.355711726,0.82362335,0.350367877,0.064984481,-139.5376696
389,2.016332599,-1.184866006,11.16704096,-1.687889796,1.725495028,-0.158669388,0.002297513,0.75770596,0.801465185,0.640232248,-25.92171079,0.710640664,0.659910198,0.415486205,24.47092741,0.92801021,0.5495295,6.804846226,0.226309702,0.692923056,0.175597579,0.164064541,-197.3736864
401,1.495578193,-0.406521044,11.67960925,2.78182449,1.805768683,0.316561224,0.002322479,0.608164604,0.874507137,0.609419042,-20.9111348,0.656100813,0.654073424,0.595588489,78.14413641,0.88556519,0.749895184,0.551016994,0.17709945,0.884503188,0.20061864,0.290042726,-157.2890784
453,1.495543274,-0.320298777,12.50420143,2.62925102,1.90282171,0.18745102,0.002281534,0.605683926,0.818321364,0.42419332,-19.1900155,0.123622409,0.059907875,0.627249401,68.92688097,0.956504147,1.253809954,5.103042696,0.338593689,0.403772628,0.349279429,0.270379734,-143.520124
467,1.471924376,-0.459343059,10.8929266,0.778406122,1.719022373,0.115632653,0.002308902,0.623597213,0.863926152,0.536348064,-24.73126964,0.648645035,0.177308294,0.870722404,19.46036231,0.946107382,0.674291929,0.487492409,0.6923839,0.801303948,0.207759888,0.144542761,-187.8501571
494,2.856041901,-1.574694646,11.11038671,0.043195918,1.736933761,0.042085714,0.00207901,0.900197805,0.861109569,0.644685532,-19.05564486,0.867425461,0.136223035,0.504699728,22.86731302,0.969935224,1.665952033,5.714919322,0.646014112,0.2912206,0.269041906,0.217592091,-142.4451589
588,2.897864533,2.166193289,10.42480789,0.350867347,1.652575961,0.244789796,0.001389617,0.533797462,0.796306684,0.699500268,-20.34239558,0.961669129,0.301683523,0.429952596,66.76641242,0.981910047,1.621484976,0.331832183,0.735074887,0.991037747,0.164961129,0.136791306,-152.7391647
649,1.451999214,-0.363944117,12.68319695,3.78767551,1.875200057,0.362793878,0.002108865,0.667103495,0.758093417,0.469913321,-15.16880511,0.045212105,0.784031192,0.55802447,56.69119063,0.922861031,1.788186925,4.216094747,0.443846315,0.832834034,0.202917233,0.250563036,-111.3504409
662,1.860409682,0.934911072,12.58087478,5.107467347,1.851668587,0.606206122,0.001535362,0.658787163,0.841178497,0.534557807,-12.80107109,0.489433671,0.731974825,0.94163951,37.58496496,0.968792865,0.058007733,0.69469443,0.442041704,0.350060668,0.176205326,0.202147552,-92.40856871
705,1.695166552,-0.643519029,12.71377823,5.451173469,1.879710236,0.699604082,0.002069548,0.727967273,0.883373922,0.512526148,-15.49282171,0.6279432,0.506036529,0.281401969,82.74831935,0.964571244,0.715195493,5.725196926,0.548190835,0.458222581,0.202052714,0.13069435,-113.9425737
812,2.254191208,0.900413868,11.5532556,-2.994340816,1.765543218,-0.375406122,0.001375388,0.742824531,0.766249572,0.674311009,-25.30698401,0.711807232,0.181652251,0.700046466,37.88466899,0.992430173,1.623944365,3.998157009,0.355209036,0.507705352,0.167122989,0.19566935,-192.4558721
901,2.843474947,-1.12749389,11.78229534,-0.287746939,1.793662214,-0.1331,0.001797853,0.908832297,0.759584353,0.470565074,-25.06337506,0.246647013,0.591045219,0.868962142,93.29799336,0.991150539,0.167728511,3.340849171,0.502066918,0.639519799,0.212130249,0.269069617,-190.5070005
968,1.558980473,-0.04511656,11.34214751,1.76857551,1.779227996,0.216077551,0.002188067,0.584360378,0.749307704,0.546432793,-27.42242161,0.521525163,0.444444935,0.457899852,92.94402658,0.956253148,1.453792758,0.913427738,0.235800921,0.292925546,0.21671408,0.119979727,-209.3793729
